
%Year,Team (winner in bold),ISO code*,Goals for,Goals against,Penalties,Matches,Shots on 

%goal**,Shots wide**,Free kicks**,Offside**,Corners**,Won,Drawn,Lost

@relation worldcup

@attribute year numeric
@attribute team{Algeria, Angola, Argentina, Australia, Austria, Belgium, Bolivia, Brazil, Bulgaria, Cameroon, Canada, Chile, ChinaPR, Colombia, CostaRica, CotedIvoire, Croatia, Cuba, CzechRepublic, Czechoslovakia, Denmark, DutchEastIndies, Ecuador, Egypt, ElSalvador, England, France, GermanyDR, Germany, GermanyFR, Ghana, Greece, Haiti, Honduras, Hungary, Iran, Iraq, Israel, Italy, Jamaica, Japan, KoreaDPR, KoreaRepublic, Kuwait, Mexico, Morocco, Netherlands, NewZealand, Nigeria, NorthernIreland, Norway, Paraguay, Peru, Poland, Portugal, RepublicofIreland, Romania, Russia, SaudiArabia, Scotland, Senegal, SerbiaandMontenegro, Slovenia, SouthAfrica, SovietUnion, Spain, Sweden, Switzerland, Togo, TrinidadandTobago, Tunisia, Turkey, Ukraine, UnitedArabEmirates, Uruguay, USA, Wales, Yugoslavia, Zaire} 

@attribute ISOcode string
@attribute Goalsfor numeric
@attribute Goalsagainst numeric
@attribute Penalties numeric
@attribute Matches numeric
@attribute Shotsongoal numeric
@attribute Shotswide numeric
@attribute Freekicks numeric
@attribute Offside numeric
@attribute Corners numeric
@attribute Won numeric
@attribute Drawn numeric
@attribute Lost numeric
@attribute Title{yes,no}
@attribute placement{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}

@data
1930,Argentina ,AR,18,9,0,5,18,0,0,0,0,4,0,1,no,2
1930,Belgium,BE,0,4,0,2,0,0,0,0,0,0,0,2,no,11
1930,Bolivia,BO,0,8,0,2,0,0,0,0,0,0,0,2,no,12
1930,Brazil ,BR,5,2,0,2,5,0,0,0,0,1,0,1,no,6
1930,Chile ,CL,5,3,0,3,5,0,0,0,0,2,0,1,no,5
1930,France ,FR,4,3,0,3,4,0,0,0,0,1,0,2,no,7
1930,Mexico ,MX,4,13,1,3,4,0,0,0,0,0,0,3,no,13
1930,Paraguay ,PY,1,3,0,2,1,0,0,0,0,1,0,1,no,9
1930,Peru ,PE,1,4,0,2,1,0,0,0,0,0,0,2,no,10
1930,Romania ,RO,3,5,0,2,3,0,0,0,0,1,0,1,no,8
1930,Uruguay ,UY,15,3,0,4,15,0,0,0,0,4,0,0,yes,1
1930,USA ,US,7,6,0,3,7,0,0,0,0,2,0,1,no,3
1930,Yugoslavia,YU,7,7,0,3,7,0,0,0,0,2,0,1,no,4
1934,Italy,IT,12,3,0,5,12,0,0,0,0,4,1,0,yes,1
1934,Germany ,DE,11,8,0,4,11,0,0,0,0,3,0,1,no,3
1934,Czechoslovakia ,CS,9,6,0,4,9,0,0,0,0,3,0,1,no,2
1934,Austria ,AT,7,7,0,4,7,0,0,0,0,2,0,2,no,4
1934,Hungary ,HU,5,4,1,2,5,0,0,0,0,1,0,1,no,6
1934,Switzerland ,CH,5,5,0,2,5,0,0,0,0,1,0,1,no,7
1934,Spain ,ES,4,3,1,3,4,0,0,0,0,1,1,1,no,5
